name,url,location,price_text,price_eur,score,reviews_raw
Georgias House,https://www.booking.com/hotel/gr/georgias-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=471049302_326519633_0_0_0%2C471049301_326519633_2_0_0&highlighted_blocks=471049302_326519633_0_0_0%2C471049301_326519633_2_0_0&matching_block_id=471049302_326519633_0_0_0&sr_pri_blocks=471049302_326519633_0_0_0__6800%2C471049301_326519633_2_0_0__5300&from=searchresults,Lefkada Town,€ 121,121.0,Scored 9.4,Scored 9.4 9.4 Superb 71 reviews
Hotel Avra,https://www.booking.com/hotel/gr/avra-lefkada.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=29054902_329716517_0_0_0%2C29054902_329716517_0_0_0&highlighted_blocks=29054902_329716517_0_0_0%2C29054902_329716517_0_0_0&matching_block_id=29054902_329716517_0_0_0&sr_pri_blocks=29054902_329716517_0_0_0__6200%2C29054902_329716517_0_0_0__6200&from=searchresults,Lygia,€ 124,124.0,Scored 9.2,Scored 9.2 9.2 Superb 304 reviews
Spacious Studios Lefkada Mountain View Near Beach,https://www.booking.com/hotel/gr/kargas-studios.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=791175703_368299360_4_0_0%2C791175702_368299360_2_0_0&highlighted_blocks=791175703_368299360_4_0_0%2C791175702_368299360_2_0_0&matching_block_id=791175703_368299360_4_0_0&sr_pri_blocks=791175703_368299360_4_0_0__6870%2C791175702_368299360_2_0_0__5600&from=searchresults,Dhráganon,€ 125,125.0,Scored 9.0,Scored 9.0 9.0 Superb 72 reviews
South Side,https://www.booking.com/hotel/gr/south-side.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=232671508_329633230_3_0_0%2C232671504_329633230_2_0_0%2C232671502_329633230_2_0_0&highlighted_blocks=232671508_329633230_3_0_0%2C232671504_329633230_2_0_0%2C232671502_329633230_2_0_0&matching_block_id=232671508_329633230_3_0_0&sr_pri_blocks=232671508_329633230_3_0_0__4900%2C232671504_329633230_2_0_0__3800%2C232671502_329633230_2_0_0__3900&from=searchresults,Athanion,€ 126,126.0,Scored 9.3,Scored 9.3 9.3 Superb 107 reviews
San Lazzaro Sea View Apartments,https://www.booking.com/hotel/gr/san-lazzaro-sea-view-apartments.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=1359347307_416912517_3_0_0%2C1359347304_416912517_3_0_0&highlighted_blocks=1359347307_416912517_3_0_0%2C1359347304_416912517_3_0_0&matching_block_id=1359347307_416912517_3_0_0&sr_pri_blocks=1359347307_416912517_3_0_0__6320%2C1359347304_416912517_3_0_0__6500&from=searchresults,Nydri,€ 128,128.0,Scored 9.4,Scored 9.4 9.4 Superb 66 reviews
Levkosh Apartments at Lefkada's Heart,https://www.booking.com/hotel/gr/levkosh-apartments-at-lefkada-39-s-heart.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=477293204_150673529_0_0_0%2C477293201_363679474_3_0_0&highlighted_blocks=477293204_150673529_0_0_0%2C477293201_363679474_3_0_0&matching_block_id=477293204_150673529_0_0_0&sr_pri_blocks=477293204_150673529_0_0_0__6760%2C477293201_363679474_3_0_0__6300&from=searchresults,Lefkada Town,€ 131,131.0,Scored 8.8,Scored 8.8 8.8 Fabulous 297 reviews
Alexandros Luxury Apartments Nydri,https://www.booking.com/hotel/gr/alexandros-apartments-lefkada.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=806573901_414738545_3_0_0%2C806573901_414738545_3_0_0&highlighted_blocks=806573901_414738545_3_0_0%2C806573901_414738545_3_0_0&matching_block_id=806573901_414738545_3_0_0&sr_pri_blocks=806573901_414738545_3_0_0__6582%2C806573901_414738545_3_0_0__6582&from=searchresults,Nydri,€ 132,132.0,Scored 9.2,Scored 9.2 9.2 Superb 107 reviews
Hotel Pegasos,https://www.booking.com/hotel/gr/pegasos-lefkada.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=30567602_370342116_2_0_0%2C30567602_370342116_2_0_0%2C30567601_370342116_2_0_0&highlighted_blocks=30567602_370342116_2_0_0%2C30567602_370342116_2_0_0%2C30567601_370342116_2_0_0&matching_block_id=30567602_370342116_2_0_0&sr_pri_blocks=30567602_370342116_2_0_0__4250%2C30567602_370342116_2_0_0__4250%2C30567601_370342116_2_0_0__4700&from=searchresults,Nikiana,€ 132,132.0,Scored 7.7,Scored 7.7 7.7 Good 143 reviews
CAMPING POROS BEACH,https://www.booking.com/hotel/gr/camping-poros-beach-nudri-leukadas.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=1114677001_384380527_3_0_0%2C1114677001_384380527_3_0_0&highlighted_blocks=1114677001_384380527_3_0_0%2C1114677001_384380527_3_0_0&matching_block_id=1114677001_384380527_3_0_0&sr_pri_blocks=1114677001_384380527_3_0_0__6680%2C1114677001_384380527_3_0_0__6680&from=searchresults,Mikros Gialos,€ 134,134.0,Scored 10,Scored 10 10 Exceptional 1 review
Kaspy Country Houses,https://www.booking.com/hotel/gr/kaspy-garden-apartments.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=145492504_421230235_3_0_0%2C145492504_421230235_3_0_0&highlighted_blocks=145492504_421230235_3_0_0%2C145492504_421230235_3_0_0&matching_block_id=145492504_421230235_3_0_0&sr_pri_blocks=145492504_421230235_3_0_0__6900%2C145492504_421230235_3_0_0__6900&from=searchresults,Lygia,€ 138,138.0,Scored 9.8,Scored 9.8 9.8 Exceptional 9 reviews
Matina Studios,https://www.booking.com/hotel/gr/matina-studios-lefkada.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=88270006_86601595_3_0_0%2C88270006_86601595_3_0_0&highlighted_blocks=88270006_86601595_3_0_0%2C88270006_86601595_3_0_0&matching_block_id=88270006_86601595_3_0_0&sr_pri_blocks=88270006_86601595_3_0_0__7010%2C88270006_86601595_3_0_0__7010&from=searchresults,Nikiana,€ 140,140.0,Scored 9.0,Scored 9.0 9.0 Superb 130 reviews
Dionysos Studios Apartments Nidri Lefkas,https://www.booking.com/hotel/gr/dionysos-studios-apartments.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=102810604_88565052_3_0_0%2C102810604_88565052_3_0_0&highlighted_blocks=102810604_88565052_3_0_0%2C102810604_88565052_3_0_0&matching_block_id=102810604_88565052_3_0_0&sr_pri_blocks=102810604_88565052_3_0_0__7090%2C102810604_88565052_3_0_0__7090&from=searchresults,Nydri,€ 142,142.0,Scored 6.9,Scored 6.9 6.9 Review score 83 reviews
Avali Deluxe Apartments,https://www.booking.com/hotel/gr/avali.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=1258798202_414566691_0_0_0&highlighted_blocks=1258798202_414566691_0_0_0&matching_block_id=1258798202_414566691_0_0_0&sr_pri_blocks=1258798202_414566691_0_0_0__14200&from=searchresults,Lygia,€ 142,142.0,Scored 9.7,Scored 9.7 9.7 Exceptional 43 reviews
Aegli,https://www.booking.com/hotel/gr/aegli-pondi.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=183364603_399004550_6_0_0&highlighted_blocks=183364603_399004550_6_0_0&matching_block_id=183364603_399004550_6_0_0&sr_pri_blocks=183364603_399004550_6_0_0__14200&from=searchresults,Vasiliki,€ 142,142.0,Scored 8.7,Scored 8.7 8.7 Fabulous 49 reviews
Prokimea Seaview Apartments,https://www.booking.com/hotel/gr/prokimea-apartments.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=24737010_376152137_4_0_0%2C24737007_376152137_4_0_0&highlighted_blocks=24737010_376152137_4_0_0%2C24737007_376152137_4_0_0&matching_block_id=24737010_376152137_4_0_0&sr_pri_blocks=24737010_376152137_4_0_0__7200%2C24737007_376152137_4_0_0__7200&from=searchresults,Lefkada Town,€ 144,144.0,Scored 7.7,Scored 7.7 7.7 Good 103 reviews
