name,url,location,price_text,price_eur,score,reviews_raw
Old Town Boutique Suites,https://www.booking.com/hotel/gr/old-town-boutique-suites.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=1063062702_378651982_6_0_0&highlighted_blocks=1063062702_378651982_6_0_0&matching_block_id=1063062702_378651982_6_0_0&sr_pri_blocks=1063062702_378651982_6_0_0__139100&from=searchresults,Lefkada Town,"€ 1,391",1391.0,Scored 9.1,Scored 9.1 9.1 Superb 88 reviews
Traditional House in Lefkada Old Town,https://www.booking.com/hotel/gr/traditional-house-in-lefkada-old-town.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=1444238301_415851316_8_0_0&highlighted_blocks=1444238301_415851316_8_0_0&matching_block_id=1444238301_415851316_8_0_0&sr_pri_blocks=1444238301_415851316_8_0_0__130928&from=searchresults,Lefkada Town,"€ 1,309",1309.0,Scored 4.0,Scored 4.0 4.0 Review score 3 reviews
Haras House,https://www.booking.com/hotel/gr/haras-house-leukada.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=1159566101_388669152_6_0_0&highlighted_blocks=1159566101_388669152_6_0_0&matching_block_id=1159566101_388669152_6_0_0&sr_pri_blocks=1159566101_388669152_6_0_0__140840&from=searchresults,Lefkada Town,"€ 1,408",1408.0,Scored 8.5,Scored 8.5 8.5 Very good 21 reviews
Alexia's house,https://www.booking.com/hotel/gr/alexia-39-s-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=498722401_177064292_6_0_0&highlighted_blocks=498722401_177064292_6_0_0&matching_block_id=498722401_177064292_6_0_0&sr_pri_blocks=498722401_177064292_6_0_0__140504&from=searchresults,Chortáta,"€ 1,405",1405.0,Scored 9.7,Scored 9.7 9.7 Exceptional 21 reviews
Villa Galini,https://www.booking.com/hotel/gr/galini-nikiana.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=59159903_201408399_4_0_0%2C59159906_201408399_2_0_0&highlighted_blocks=59159903_201408399_4_0_0%2C59159906_201408399_2_0_0&matching_block_id=59159903_201408399_4_0_0&sr_pri_blocks=59159903_201408399_4_0_0__81900%2C59159906_201408399_2_0_0__73045&from=searchresults,Nikiana,"€ 1,549",1549.0,Scored 7.8,Scored 7.8 7.8 Good 343 reviews
Blue White House,https://www.booking.com/hotel/gr/blue-white-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=220051701_142302089_4_0_0%2C220051703_142302089_3_0_0&highlighted_blocks=220051701_142302089_4_0_0%2C220051703_142302089_3_0_0&matching_block_id=220051701_142302089_4_0_0&sr_pri_blocks=220051701_142302089_4_0_0__78680%2C220051703_142302089_3_0_0__65800&from=searchresults,Kalamitsi,"€ 1,445",1445.0,Scored 9.1,Scored 9.1 9.1 Superb 92 reviews
Petrasdream Lefkada,https://www.booking.com/hotel/gr/petrasdream-lefkada-lefkada.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=1245956302_396800627_0_0_0&highlighted_blocks=1245956302_396800627_0_0_0&matching_block_id=1245956302_396800627_0_0_0&sr_pri_blocks=1245956302_396800627_0_0_0__146300&from=searchresults,Lefkada Town,"€ 1,463",1463.0,Scored 9.5,Scored 9.5 9.5 Exceptional 2 reviews
VIEW ON SCORPIOS - Ktena Accomodation,https://www.booking.com/hotel/gr/view-on-scorpios.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=1039941102_376448271_0_2_0&highlighted_blocks=1039941102_376448271_0_2_0&matching_block_id=1039941102_376448271_0_2_0&sr_pri_blocks=1039941102_376448271_0_2_0__147602&from=searchresults,Nydri,"€ 1,476",1476.0,Scored 9.5,Scored 9.5 9.5 Exceptional 35 reviews
Sofia apartment,https://www.booking.com/hotel/gr/sofia-apartment-lefkada.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=1417451002_413421881_6_0_0&highlighted_blocks=1417451002_413421881_6_0_0&matching_block_id=1417451002_413421881_6_0_0&sr_pri_blocks=1417451002_413421881_6_0_0__161413&from=searchresults,Nikiana,"€ 1,614",1614.0,Scored 8.7,Scored 8.7 8.7 Fabulous 3 reviews
Polyxenis Rooms,https://www.booking.com/hotel/gr/polyxenis-rooms.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=38353702_378836312_3_2_0%2C38353702_378836312_3_2_0&highlighted_blocks=38353702_378836312_3_2_0%2C38353702_378836312_3_2_0&matching_block_id=38353702_378836312_3_2_0&sr_pri_blocks=38353702_378836312_3_2_0__75460%2C38353702_378836312_3_2_0__75460&from=searchresults,Lygia,"€ 1,509",1509.0,Scored 7.9,Scored 7.9 7.9 Good 237 reviews
Loris’House,https://www.booking.com/hotel/gr/loris-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=1189457401_391292394_6_0_0&highlighted_blocks=1189457401_391292394_6_0_0&matching_block_id=1189457401_391292394_6_0_0&sr_pri_blocks=1189457401_391292394_6_0_0__152360&from=searchresults,Drymon,"€ 1,524",1524.0,Scored 9.8,Scored 9.8 9.8 Exceptional 26 reviews
Elena’s House Sivota Lefkadas,https://www.booking.com/hotel/gr/elenas-house-sivota-lefkadas.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=911415201_362456345_6_0_0&highlighted_blocks=911415201_362456345_6_0_0&matching_block_id=911415201_362456345_6_0_0&sr_pri_blocks=911415201_362456345_6_0_0__152740&from=searchresults,Sivota,"€ 1,527",1527.0,Scored 9.8,Scored 9.8 9.8 Exceptional 20 reviews
Manto's House Lefkada,https://www.booking.com/hotel/gr/manto-39-s-house-lefkada.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=369234101_406313427_6_0_0&highlighted_blocks=369234101_406313427_6_0_0&matching_block_id=369234101_406313427_6_0_0&sr_pri_blocks=369234101_406313427_6_0_0__153720&from=searchresults,Évyiros,"€ 1,537",1537.0,Scored 9.5,Scored 9.5 9.5 Exceptional 8 reviews
Harmony,https://www.booking.com/hotel/gr/armonia-kalamitsi.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=233516502_329633742_5_0_0%2C233516501_329633742_3_0_0&highlighted_blocks=233516502_329633742_5_0_0%2C233516501_329633742_3_0_0&matching_block_id=233516502_329633742_5_0_0&sr_pri_blocks=233516502_329633742_5_0_0__92400%2C233516501_329633742_3_0_0__78400&from=searchresults,Kalamitsi,"€ 1,708",1708.0,Scored 9.2,Scored 9.2 9.2 Superb 70 reviews
Menelia Cottage,https://www.booking.com/hotel/gr/traditionnal-house-lefkada.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=117494201_406725461_0_0_0&highlighted_blocks=117494201_406725461_0_0_0&matching_block_id=117494201_406725461_0_0_0&sr_pri_blocks=117494201_406725461_0_0_0__158620&from=searchresults,Platístoma,"€ 1,586",1586.0,Scored 9.0,Scored 9.0 9.0 Superb 6 reviews
